level,route,Feature,value,z score,probability of do value,probability of not do value,probability difference,p value,support
0,,outcome,Death,339.9533380813934,0.8988142428106587,0.040887301513138664,0.85792694129752,0.0,9846
0,,psd,Diphenhydramine Hydrochloride,25.46348414808374,0.910099002293178,0.3480431408751079,0.5620558614180701,0.0,140
0,,psd,Hydrocodone Bitartrate,20.868112101912416,0.8775639825937699,0.34807444417667577,0.5294895384170941,0.0,147
0,,psd,Diazepam,16.523946278363866,0.7182828659235045,0.34623374178889854,0.372049124134606,0.0,344
0,,psd,Morphine Sulfate,16.26611775372144,0.721281034855549,0.34623722720989825,0.3750438076456507,0.0,341
0,,indication,SUICIDE ATTEMPT,15.501373574716776,0.5445754802332515,0.13794500574447266,0.40663047448877887,0.0,339
0,,psd,Oxycodone Hydrochloride,13.581843257058818,0.6641159335656347,0.34693819896393696,0.31717773460169774,0.0,343
0,,dose,PO,10.827596775092927,0.6405675676133897,0.17946510561718568,0.4611024619962041,0.0,109
0,,psd,Alprazolam,9.739361002620218,0.568905452933747,0.3474606818307903,0.22144477110295663,0.0,427
0,,psd,Fentanyl,7.930226476378051,0.545382467548499,0.3483568386810063,0.19702562886749264,1.1102230246251565e-15,356
0,,psd,Citalopram Hydrobromide,6.817806729898735,0.5376279918771041,0.34882462730448777,0.18880336457261632,4.622080496119452e-12,304
0,,psd,Quetiapine Fumarate,6.1002563557894955,0.5598331351029245,0.34946423574464197,0.21036889935828257,5.29492449885538e-10,190
0,,psd,Mirtazapine,4.936565215012059,0.5213299875205519,0.34981704543925324,0.1715129420812987,3.9755228886662053e-07,177

1,Death,indication,SUICIDE ATTEMPT,16.926762530537314,0.981325643045919,0.7811663366753959,0.20015930637052304,0.0,143
1,Death,psd,Diphenhydramine Hydrochloride,10.496810222488772,0.9838635674838362,0.9181966311962699,0.06566693628756626,0.0,116
1,Death,age,40-64,8.450756145353575,0.9423810287657755,0.9002717232579481,0.04210930550782732,0.0,3518
1,Death,psd,Diazepam,6.581081216202512,0.9645013641892818,0.9178190641597925,0.046682300029489254,2.3351987010755693e-11,228
1,Death,psd,Hydrocodone Bitartrate,5.855511522555883,0.9768839033823165,0.9182248690355291,0.05865903434678732,2.3777202429187128e-09,126
1,Death,psd,Gabapentin,5.461165752827491,0.9722400134122824,0.9180793485463052,0.05416066486597715,2.3650907343686356e-08,158
1,Death,psd,Morphine Sulfate,4.322301892077672,0.9591694763441126,0.9179275132108391,0.04124196313327355,7.720485512674458e-06,237
1,Death,psd,Citalopram Hydrobromide,4.114678241792868,0.9648250473870171,0.9183113399598184,0.046513707427198736,1.93859931506557e-05,144
1,Death,dose,ORAL,3.725721465573764,0.8766582205071805,0.8100306516117712,0.06662756889540922,9.737868530457217e-05,309
1,Death,age,18-39,3.2295534642858894,0.9327543037123776,0.9163669565327535,0.01638734717962409,0.0006199184858186602,2204
1,Death,psd,Sertraline Hydrochloride,3.2202901784433853,0.9639434814453125,0.9185581142178167,0.045385367227495754,0.0006403044942741021,104
1,Death,gender,Female,2.8149224172007097,0.923687529490993,0.9093816939192043,0.014305835571788661,0.0024394505373923625,3924
1,Death,psd,Fentanyl,2.385954646326824,0.9472228259575076,0.918560542630293,0.028662283327214655,0.00851742586521509,164
1,Death,psd,Acetaminophen,2.267963411921927,0.9479911502471752,0.9184956532347169,0.02949549701245824,0.011665718404032077,177
1,Death,psd,Alprazolam,1.9170496205414471,0.9413743421766493,0.9185050239611957,0.02286931821545357,0.027615814022780794,225
1,Diazepam,age,18-39,2.156641021855179,0.7755589325155988,0.6795962616637513,0.09596267085184751,0.01551682282141642,149
1,Diazepam,age,40-64,1.8017153081274149,0.7670288843824374,0.6856857723659939,0.08134311201644351,0.03579510418025211,151
1,Morphine Sulfate,age,40-64,1.894208415505759,0.7798853422466078,0.6884405212402344,0.09144482100637341,0.029098675769311355,190
1,SUICIDE ATTEMPT,outcome,Death,47.48744869779337,0.9466527847045245,0.04991458591661955,0.896738198787905,0.0,187
1,SUICIDE ATTEMPT,psd,Tramadol Hydrochloride,5.32234288925159,0.6626656617169605,0.3921753135887352,0.2704903481282253,5.121962365350896e-08,191
1,SUICIDE ATTEMPT,age,40-64,2.7575724476755505,0.6346076055867782,0.48915540760961074,0.14545219797716746,0.0029116153894078733,151
1,Oxycodone Hydrochloride,outcome,Death,36.58413360033592,0.9145448366800945,0.08059227582320426,0.8339525608568902,0.0,240
1,Oxycodone Hydrochloride,gender,Female,2.0749962316830963,0.7035344858638576,0.6031967460686434,0.10033773979521421,0.01899344201000419,183
1,Alprazolam,outcome,Death,55.36219948243635,0.9365465708047032,0.05462096782212847,0.8819256029825747,0.0,249
1,Fentanyl,outcome,Death,47.85022717551777,0.9291034487623665,0.0592810801970653,0.8698223685653012,0.0,199
1,Fentanyl,gender,Male,4.04022718149351,0.6267252206802368,0.41847402399236505,0.2082511966878718,2.6699724947287784e-05,160
1,Citalopram Hydrobromide,outcome,Death,60.92371008278601,0.9637510253161918,0.03845529556274414,0.9252957297534476,0.0,164
1,Citalopram Hydrobromide,age,40-64,3.8339809803879024,0.6684240861372515,0.4338859465064072,0.23453813963084424,6.3042947519798e-05,110

2,Death->40-64,psd,Diazepam,9.513297261709202,0.9825428650442478,0.9410481983694561,0.041494666674791736,0.0,113
2,Death->40-64,psd,Morphine Sulfate,4.407464661801151,0.9808956782023112,0.9407372500109262,0.04015842819138493,5.22938289226893e-06,144
2,Death->40-64,dose,ORAL,4.295362881072605,0.9265078376321232,0.8327476039077296,0.09376023372439357,8.720390538785594e-06,136
2,Death->40-64,gender,Female,3.865858309868762,0.9517773141512631,0.9266837030863591,0.025093611064904042,5.534959756925417e-05,2026
2,Death->Diazepam,age,40-64,2.6266053181161646,0.9825428650442478,0.9458652389383762,0.036677626105871663,0.0043120649900685315,113
2,Death->ORAL,age,40-64,2.814251126582202,0.9366592288941376,0.8508063769731365,0.085852851921001,0.0024445509141153288,129
2,Death->Female,age,40-64,7.860999283184628,0.9517773141512631,0.8983001686345222,0.053477145516740876,1.887379141862766e-15,2026
2,Death->Female,psd,Diazepam,4.035455443209417,0.9641768022017045,0.9225197738543441,0.0416570283473604,2.724824068467413e-05,110
2,Death->Female,psd,Morphine Sulfate,2.9044802158477063,0.9637923467726934,0.9225848832970734,0.04120746347561999,0.0018393172585388085,105
2,Death->Female,age,18-39,2.0082377901136397,0.9373990572415866,0.9236396866673077,0.013759370574278895,0.022309014518651527,1040
2,Death->Female,dose,ORAL,1.7533375197472638,0.8602015371541031,0.8116900588084817,0.04851147834562142,0.03977204442150739,131
